183,184,185,186,187,188,189,190,191,192,193,194,195,196,197
182,133,134,135,136,137,138,139,140,141,142,143,144,145,198
181,132,91,92,93,94,95,96,97,98,99,100,101,146,199
180,131,90,57,58,59,60,61,62,63,64,65,102,147,200
179,130,89,56,31,32,33,34,35,36,37,66,103,148,201
178,129,88,55,30,13,14,15,16,17,38,67,104,149,202
177,128,87,54,29,12,3,4,5,18,39,68,105,150,203
176,127,86,53,28,11,2,1,6,19,40,69,106,151,204
175,126,85,52,27,10,9,8,7,20,41,70,107,152,205
174,125,84,51,26,25,24,23,22,21,42,71,108,153,206
173,124,83,50,49,48,47,46,45,44,43,72,109,154,207
172,123,82,81,80,79,78,77,76,75,74,73,110,155,208
171,122,121,120,119,118,117,116,115,114,113,112,111,156,209
170,169,168,167,166,165,164,163,162,161,160,159,158,157,210
225,224,223,222,221,220,219,218,217,216,215,214,213,212,211
